Affinati 	"Campo del sangue"
Scarpa 	"Stabat Mater"
Scarpa 	"Le cose fondamentali"
Scarpa 	"Il brevetto del geco"
Sereni 	"Casalinghitudine"
Sereni 	"Manicomio primavera"
Sereni 	"Eppure"
Sereni 	"Lupo mercante"
Sereni 	"Una storia chiusa"
Sereni 	"Via Ripetta 155"
Starnone 	"Ex cattedra"
Starnone 	"Il salto con le aste"
Starnone 	"Fuori registro"
Starnone 	"Eccesso di zelo"
Starnone 	"Denti"
Starnone 	"Via Gemito"
Starnone 	"Labilita"
Starnone 	"Prima esecuzione"
Starnone 	"Condom Butterfly"
Starnone 	"Spavento"
Starnone 	"Fare scene"
Starnone 	"Autobiografia erotica"
Starnone 	"Lacci"
Starnone 	"Scherzetto"
Tamaro 	"La testa tra le nuvole"
Tamaro 	"Per voce sola"
Tamaro 	"Va dove ti porta il cuore"
Tamaro 	"Ascolta la mia voce"
Tamaro 	"Per Sempre"
Tamaro 	"Ogni angelo e tremendo"
Valerio 	"Fermati un minuto a salutare"
Valerio 	"Almanacco del giorno prima"
Valerio 	"Storia umana della matematica"
Vasta 	"Il tempo materiale"
Vasta 	"Spaesamento"
Veronesi 	"Venite venite B52"
Veronesi 	"Caos calmo"
Veronesi 	"Brucia Troia"
Veronesi 	"Terre rare"
Vinci 	"Dei bambini non si sa niente"
Vinci 	"Brother and Sister"
